Unnamed: 0,furniture_type,name,discounted_price,original_price,product_details,company
441,Kitchen Cabinet,DAITORY Bathroom Trays and Holders Home Decor Caddy Sho...,380,1002,"['Suitable For: Storage', 'Number of Shelves: 4', 'W x H x D: 25 mm x 11 mm x 7 mm', 'Pre Assembled (Ready to Use)']",FurnitureForYou
444,Kitchen Cabinet,EMERALD Metal Kitchen Cabinet,8026,10033,"['Suitable For: Storage', 'Number of Shelves: 1', 'W x H x D: 460 mm x 380 mm x 600 mm (1 ft 6 in x 1 ft 2 in x 1 ft 11 in)', 'Pre Assembled (Ready to Use)']",Mobila Casa
445,Kitchen Cabinet,EMERALD Metal Kitchen Cabinet,8026,10033,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 1', 'W x H x D: 460 mm x 380 mm x 600 mm (1 ft 6 in x 1 ft 2 in x 1 ft 11 in)', 'Pre Assembled (Ready to Use)']",Ikea
446,Kitchen Cabinet,EMERALD Metal Kitchen Cabinet,8026,10033,"['Suitable For: Storage', 'Number of Shelves: 1', 'W x H x D: 460 mm x 380 mm x 600 mm (1 ft 6 in x 1 ft 2 in x 1 ft 11 in)', 'Pre Assembled (Ready to Use)']",Dedeman
448,Kitchen Cabinet,The Wooden Factory KC07 Engineered Wood Crockery Cabine...,7625,13846,"['Suitable For: Dining &amp; Kitchen Furniture, Storage', 'Number of Shelves: 4', 'Number of Drawers: 1', 'W x H x D: 600 mm x 900 mm x 400 mm (1 ft 11 in x 2 ft 11 in x 1 ft 3 in)', 'Pre Assembled (Ready to Use)']",Casa Rusu
449,Kitchen Cabinet,EMERALD Metal Kitchen Cabinet,8026,10033,"['Suitable For: Storage', 'Number of Shelves: 1', 'W x H x D: 460 mm x 380 mm x 600 mm (1 ft 6 in x 1 ft 2 in x 1 ft 11 in)', 'Pre Assembled (Ready to Use)']",FurnitureForYou
452,Kitchen Cabinet,EMERALD Metal Kitchen Cabinet,8026,10033,"['Suitable For: Dining &amp; Kitchen Furniture', 'Number of Shelves: 1', 'W x H x D: 460 mm x 380 mm x 600 mm (1 ft 6 in x 1 ft 2 in x 1 ft 11 in)', 'Pre Assembled (Ready to Use)']",Casa Magica
453,Kitchen Cabinet,Trendy 4 Layer Multipurpose Kitchen Storage Rack with W...,852,1504,"['Suitable For: Storage', 'Number of Shelves: 4', 'Number of Drawers: 4', 'W x H x D: 510 mm x 940 mm x 110 mm (1 ft 8 in x 3 ft 1 in x 4 in)', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Casa Rusu
454,Kitchen Cabinet,Qrex Plastic Kitchen Cabinet,256,400,"['Suitable For: Storage', 'Number of Shelves: 4', 'Number of Drawers: 4', 'W x H x D: 16 mm x 4 mm x 14 mm', 'DIY - Basic assembly to be done with simple tools by the customer, comes with instructions.']",Dedeman
456,Kitchen Cabinet,SWAMEERA Engineered Wood Kitchen Cabinet,4785,7023,"['Suitable For: Storage, Dining &amp; Kitchen Furniture', 'Number of Shelves: 4', 'W x H x D: 610 mm x 750 mm x 330 mm (2 ft x 2 ft 5 in x 1 ft)', 'Pre Assembled (Ready to Use)']",Casa Rusu
462,Kitchen Cabinet,HXOSET PACK OF 3 ABS Plastic Kitchen Bathroom Shower Sh...,250,400,"['Suitable For: Storage', 'Number of Shelves: 3', 'Number of Drawers: 3', 'W x H x D: 10 mm x 20 mm x 6 mm', 'Pre Assembled (Ready to Use)']",Mobila Casa
466,Kitchen Cabinet,GAJSHREE Solid Wood Kitchen Cabinet,4860,6822,"['Suitable For: Storage', 'Number of Shelves: 1', 'W x H x D: 200 mm x 410 mm x 410 mm (7 in x 1 ft 4 in x 1 ft 4 in)', 'Pre Assembled (Ready to Use)']",Mob Expert
